id,omschrijving,Kcal,eiwitten,net carbs,vetten,bereidingstip,essentials
1,pesto,,,,,Zelfgemaakt uiteraard.,k
2,béarnaisesaus,,,,,De boter klaren hoeft zelfs niet: zie de 'Peter Goossens-methode'.,
3,champignonsaus,,,,,"Vaak volstaat het voor een perfecte saus de aanbaksels in de pan los te roeren en room, mosterd en de gare champigons toe te voegen en wat te laten inkoken.",
4,pepersaus,,,,,"Vaak volstaat het voor een perfecte saus de aanbaksels in de pan los te roeren en room, mosterd en groene peperbolletjes toe te voegen en wat te laten inkoken.",
5,hollandaise met kappertjes,,,,,,
6,tartaarsaus,,,,,Zelfgemaakt uiteraard.,
7,bruine boter met kappertjes,,,,,,
8,provençaalse saus,,,,,,
9,salsa tomaat komkommer,,,,,,
10,chimichurri,,,,,,
11,kerstomaatjes oven,,,,,,
12,ratatouille,,,,,,
13,tomatensaus,,,,,,
14,paprikasaus,,,,,,
15,à la flamande,,,,,De eieren niet te hard koken: zo wordt de boter beter opgenomen.,
